Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Nai,,Percent,0.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Nai,,Percent,0.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Nai,,Percent,0.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Nai,,Percent,0.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ba Ria - Vung Tau,,Percent,1.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ba Ria - Vung Tau,,Percent,1.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ba Ria - Vung Tau,,Percent,0.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ba Ria - Vung Tau,,Percent,0.7
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ho Chi Minh city,,Percent,0.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ho Chi Minh city,,Percent,0.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ho Chi Minh city,,Percent,0.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ho Chi Minh city,,Percent,0.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Long An,,Percent,4.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Long An,,Percent,4.0
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Long An,,Percent,2.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Long An,,Percent,2.5
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tien Giang,,Percent,5.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tien Giang,,Percent,4.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tien Giang,,Percent,3.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tien Giang,,Percent,2.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ben Tre,,Percent,10.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ben Tre,,Percent,8.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ben Tre,,Percent,6.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ben Tre,,Percent,5.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tra Vinh,,Percent,13.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tra Vinh,,Percent,12.0
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tra Vinh,,Percent,9.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tra Vinh,,Percent,8.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Long,,Percent,9.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Long,,Percent,7.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Long,,Percent,6.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Long,,Percent,5.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Thap,,Percent,8.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Thap,,Percent,6.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Thap,,Percent,5.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dong Thap,,Percent,4.7
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],An Giang,,Percent,7.6
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],An Giang,,Percent,6.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],An Giang,,Percent,5.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],An Giang,,Percent,4.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kien  Giang,,Percent,8.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kien  Giang,,Percent,7.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kien  Giang,,Percent,5.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kien  Giang,,Percent,4.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Can Tho,,Percent,4.6
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Can Tho,,Percent,3.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Can Tho,,Percent,2.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Can Tho,,Percent,2.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hau Giang,,Percent,10.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hau Giang,,Percent,9.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hau Giang,,Percent,7.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hau Giang,,Percent,6.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Soc Trang,,Percent,10.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Soc Trang,,Percent,8.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Soc Trang,,Percent,6.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Soc Trang,,Percent,5.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Lieu,,Percent,13.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Lieu,,Percent,11.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Lieu,,Percent,9.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Lieu,,Percent,7.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ca Mau,,Percent,11.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ca Mau,,Percent,10.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ca Mau,,Percent,8.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ca Mau,,Percent,6.9
